"sim","n","p","model","rmse"
9,200,10,"RF_Full",2.72267664817237
9,200,10,"XGBoost_Full",2.41562414533556
9,200,10,"LightGBM_Full",2.30695688897562
9,200,10,"CatBoost_Full",2.29619680895598
9,200,10,"H2OGBM_Full",2.00933602602824
10,200,10,"Ridge",2.2615959334901
10,200,10,"RF_Ridge",2.53261400093365
10,200,10,"XGBoost_Ridge",2.34516509851617
10,200,10,"LightGBM_Ridge",2.14388256366421
10,200,10,"CatBoost_Ridge",1.92396366025662
10,200,10,"H2OGBM_Ridge",2.22378376254757
10,200,10,"Lasso",2.27249401873518
10,200,10,"RF_Lasso",2.43436606504859
10,200,10,"XGBoost_Lasso",2.56891925332393
10,200,10,"LightGBM_Lasso",1.99107732957373
10,200,10,"CatBoost_Lasso",1.91164530282936
10,200,10,"H2OGBM_Lasso",2.1906433319311
10,200,10,"ElasticNet",2.29403236212221
10,200,10,"RF_ElasticNet",2.49238218349323
10,200,10,"XGBoost_ElasticNet",2.56891925332393
10,200,10,"LightGBM_ElasticNet",1.99107732957373
10,200,10,"CatBoost_ElasticNet",1.91164530282936
10,200,10,"H2OGBM_ElasticNet",2.1906433319311
10,200,10,"RF_Full",2.55344638483246
10,200,10,"XGBoost_Full",2.34516509851617
10,200,10,"LightGBM_Full",2.14388256366421
10,200,10,"CatBoost_Full",1.92396366025662
10,200,10,"H2OGBM_Full",2.22378376254757
1,200,50,"Ridge",2.54692294953925
1,200,50,"RF_Ridge",2.98844960897769
1,200,50,"XGBoost_Ridge",2.91534264552541
1,200,50,"LightGBM_Ridge",1.96891097315248
1,200,50,"CatBoost_Ridge",2.6619371116058
1,200,50,"H2OGBM_Ridge",2.31359297231479
1,200,50,"Lasso",2.48012937388037
1,200,50,"RF_Lasso",2.75987013536014
1,200,50,"XGBoost_Lasso",2.61262315317173
1,200,50,"LightGBM_Lasso",2.03934581169227
1,200,50,"CatBoost_Lasso",2.41815594212821
1,200,50,"H2OGBM_Lasso",2.29508843044967
1,200,50,"ElasticNet",2.44849747247685
1,200,50,"RF_ElasticNet",2.85699055669904
1,200,50,"XGBoost_ElasticNet",2.90803551547912
1,200,50,"LightGBM_ElasticNet",1.93636089970801
1,200,50,"CatBoost_ElasticNet",2.54388518483276
1,200,50,"H2OGBM_ElasticNet",2.25276435787986
1,200,50,"RF_Full",2.98955742449717
1,200,50,"XGBoost_Full",2.91534264552541
1,200,50,"LightGBM_Full",1.96891097315248
1,200,50,"CatBoost_Full",2.6619371116058
1,200,50,"H2OGBM_Full",2.31359297231479
2,200,50,"Ridge",3.4921503565023
2,200,50,"RF_Ridge",3.37079330224261
2,200,50,"XGBoost_Ridge",2.67622255008252
2,200,50,"LightGBM_Ridge",2.26270162853229
2,200,50,"CatBoost_Ridge",2.65639666076241
2,200,50,"H2OGBM_Ridge",2.14238993422429
2,200,50,"Lasso",3.08549868848286
2,200,50,"RF_Lasso",2.77265949179826
2,200,50,"XGBoost_Lasso",2.52705039253334
2,200,50,"LightGBM_Lasso",2.73912873584282
2,200,50,"CatBoost_Lasso",2.07135620582698
2,200,50,"H2OGBM_Lasso",2.33689627429604
2,200,50,"ElasticNet",3.17678699448953
2,200,50,"RF_ElasticNet",3.1113348466386
2,200,50,"XGBoost_ElasticNet",2.62108677747322
2,200,50,"LightGBM_ElasticNet",2.53599179313339
2,200,50,"CatBoost_ElasticNet",2.50918466890307
2,200,50,"H2OGBM_ElasticNet",2.52337476329823
2,200,50,"RF_Full",3.31595052756365
2,200,50,"XGBoost_Full",2.67622255008252
2,200,50,"LightGBM_Full",2.26270162853229
2,200,50,"CatBoost_Full",2.65639666076241
2,200,50,"H2OGBM_Full",2.14238993422429
3,200,50,"Ridge",2.96750440849859
3,200,50,"RF_Ridge",3.13674446656654
3,200,50,"XGBoost_Ridge",2.86585074742643
3,200,50,"LightGBM_Ridge",2.09549103933243
3,200,50,"CatBoost_Ridge",2.39178851504196
3,200,50,"H2OGBM_Ridge",2.32348477728015
3,200,50,"Lasso",2.75676113843343
3,200,50,"RF_Lasso",2.76675963425187
3,200,50,"XGBoost_Lasso",3.02677959640461
3,200,50,"LightGBM_Lasso",2.51275577368614
3,200,50,"CatBoost_Lasso",2.5177177013856
3,200,50,"H2OGBM_Lasso",2.67610359391795
3,200,50,"ElasticNet",2.8002133023418
3,200,50,"RF_ElasticNet",3.00305138842622
3,200,50,"XGBoost_ElasticNet",2.89932423232509
3,200,50,"LightGBM_ElasticNet",2.51136332027375
3,200,50,"CatBoost_ElasticNet",2.43837677117031
3,200,50,"H2OGBM_ElasticNet",2.58236068156158
3,200,50,"RF_Full",3.08874057472452
3,200,50,"XGBoost_Full",2.86585074742643
3,200,50,"LightGBM_Full",2.09549103933243
3,200,50,"CatBoost_Full",2.39178851504196
3,200,50,"H2OGBM_Full",2.32348477728015
4,200,50,"Ridge",3.70228384002269
4,200,50,"RF_Ridge",4.3265259399304
4,200,50,"XGBoost_Ridge",3.72608445037217
4,200,50,"LightGBM_Ridge",2.81185061526609
4,200,50,"CatBoost_Ridge",3.79657695885815
4,200,50,"H2OGBM_Ridge",3.25244935452696
4,200,50,"Lasso",3.3521811612992
4,200,50,"RF_Lasso",4.17774406629438
4,200,50,"XGBoost_Lasso",4.2184265717227
4,200,50,"LightGBM_Lasso",3.22413526734915
4,200,50,"CatBoost_Lasso",3.68586061149487
4,200,50,"H2OGBM_Lasso",3.13123558164926
4,200,50,"ElasticNet",3.39491145074897
4,200,50,"RF_ElasticNet",4.1917810442457
4,200,50,"XGBoost_ElasticNet",3.98883391839929
4,200,50,"LightGBM_ElasticNet",3.16705439018314
4,200,50,"CatBoost_ElasticNet",3.74901374222982
4,200,50,"H2OGBM_ElasticNet",3.14823985028513
4,200,50,"RF_Full",4.28493002558468
4,200,50,"XGBoost_Full",3.72608445037217
4,200,50,"LightGBM_Full",2.81185061526609
4,200,50,"CatBoost_Full",3.79657695885815
4,200,50,"H2OGBM_Full",3.25244935452696
5,200,50,"Ridge",3.09777275118355
5,200,50,"RF_Ridge",3.13285926193493
5,200,50,"XGBoost_Ridge",3.09606136361529
